gf,ga,xg,xga,poss,attendance,sh,sot,dist,fk,pk,pkatt,season,result
3,2,1.8,1.7,54.0,62470.0,16.0,6.0,18.0,1.0,0,0,2023,1.0
1,1,1.6,1.3,68.0,52178.0,13.0,3.0,17.9,0.0,0,0,2021,0.5
0,3,0.5,3.3,45.0,60348.0,7.0,2.0,20.4,1.0,0,0,2023,0.0
3,3,1.5,1.5,31.0,42118.0,8.0,3.0,16.5,2.0,0,0,2023,0.5
2,1,1.6,1.2,52.0,61445.0,16.0,6.0,17.1,1.0,0,0,2023,1.0
0,1,0.3,1.4,57.0,62498.0,9.0,3.0,21.1,0.0,0,0,2022,0.0
1,2,1.4,1.2,52.0,42164.0,4.0,1.0,20.3,0.0,1,1,2022,0.0
3,0,1.5,0.2,49.0,36400.0,15.0,9.0,19.6,1.0,0,0,2021,1.0
3,1,2.3,0.5,70.0,41785.0,17.0,6.0,14.5,0.0,0,0,2023,1.0
1,3,0.6,2.2,40.0,24361.0,5.0,2.0,16.6,0.0,0,0,2023,0.0
2,1,1.5,1.5,61.0,31571.0,18.0,7.0,16.1,0.0,0,0,2023,1.0
1,1,1.9,1.4,57.0,10248.0,20.0,5.0,17.9,0.0,0,0,2022,0.5
2,0,1.6,0.5,64.0,20795.0,11.0,5.0,12.3,0.0,0,0,2021,1.0
1,0,2.0,1.0,53.0,24189.0,13.0,2.0,16.4,0.0,1,1,2023,1.0
0,2,1.1,1.7,56.0,24445.0,10.0,3.0,13.2,0.0,0,0,2023,0.0
3,1,1.1,1.0,46.0,59919.0,12.0,7.0,17.7,0.0,0,0,2021,1.0
2,1,0.8,1.1,59.0,29751.0,11.0,1.0,18.7,0.0,0,0,2022,1.0
2,2,2.1,0.7,52.0,62441.0,22.0,4.0,14.8,0.0,0,0,2023,0.5
0,0,1.8,1.0,64.0,10421.0,14.0,6.0,15.0,1.0,0,0,2023,0.5
0,7,0.3,3.1,37.0,52401.0,6.0,3.0,25.3,1.0,0,0,2021,0.0
0,3,0.6,1.9,46.0,26910.0,5.0,2.0,15.2,1.0,0,0,2021,0.0
0,1,1.0,2.0,31.0,29603.0,8.0,2.0,19.3,0.0,0,0,2023,0.0
2,0,1.4,2.7,27.0,60261.0,5.0,2.0,17.4,0.0,0,1,2023,1.0
1,0,1.2,0.9,61.0,39132.0,16.0,4.0,16.5,0.0,0,0,2021,1.0
1,0,2.2,2.2,51.0,73358.0,15.0,2.0,14.7,0.0,0,0,2023,1.0
0,0,1.5,0.9,41.0,31178.0,8.0,2.0,15.7,0.0,0,1,2022,0.5
0,1,1.4,0.3,45.0,16940.0,17.0,6.0,14.5,0.0,0,0,2021,0.0
2,0,2.2,1.9,32.0,39575.0,7.0,5.0,12.7,0.0,0,0,2023,1.0
2,1,1.8,1.7,32.0,53274.0,14.0,6.0,19.4,3.0,0,0,2022,1.0
0,3,0.4,2.2,34.0,32225.0,4.0,4.0,13.4,0.0,0,0,2022,0.0
1,0,0.7,0.8,49.0,73045.0,19.0,6.0,20.4,1.0,0,0,2021,1.0
2,2,1.2,1.5,40.0,25000.0,9.0,5.0,17.9,0.0,0,0,2021,0.5
0,1,1.2,2.0,48.0,27606.0,11.0,5.0,14.2,0.0,0,0,2021,0.0
2,0,1.5,0.9,44.0,17384.0,16.0,6.0,14.2,0.0,0,0,2021,1.0
1,2,1.3,0.8,60.0,36347.0,15.0,6.0,18.9,0.0,0,0,2022,0.0
0,5,1.4,2.2,37.0,30187.0,10.0,4.0,10.0,0.0,0,0,2023,0.0
2,1,0.6,1.9,36.0,60112.0,8.0,3.0,23.1,0.0,0,0,2021,1.0
0,1,0.7,2.2,32.0,61729.0,8.0,1.0,15.4,0.0,0,0,2021,0.0
2,1,1.0,1.3,52.0,31830.0,12.0,4.0,19.2,1.0,0,0,2021,1.0
1,1,1.0,0.8,60.0,16997.0,12.0,1.0,13.7,0.0,0,0,2023,0.5
0,3,0.6,3.1,41.0,52000.0,13.0,2.0,19.0,1.0,0,0,2021,0.0
4,1,1.8,1.3,30.0,39061.0,17.0,6.0,13.5,1.0,0,0,2021,1.0
2,4,0.5,3.2,33.0,42066.0,7.0,5.0,23.3,1.0,0,0,2022,0.0
1,3,0.6,3.6,31.0,53135.0,6.0,1.0,17.8,0.0,0,0,2021,0.0
0,1,0.5,1.4,49.0,39232.0,8.0,0.0,18.4,0.0,0,0,2022,0.0
0,1,1.4,0.6,61.0,42000.0,12.0,3.0,14.8,1.0,0,0,2023,0.0
2,0,1.8,0.5,60.0,40046.0,15.0,5.0,15.7,0.0,0,0,2022,1.0
0,2,0.4,1.4,36.0,28978.0,5.0,1.0,24.2,0.0,0,0,2022,0.0
